doc_id1,doc_id2,approx_jaccard
889,9155,1.0
3777,7510,1.0
6075,8919,1.0
7310,742,1.0
1508,807,0.99
2301,894,1.0
1704,74,1.0
4469,7374,1.0
776,7154,1.0
5186,4766,1.0
1520,399,1.0
4104,3187,0.99
427,4607,1.0
2411,8883,1.0
8768,5138,1.0
4834,5011,1.0
8876,36,0.99
7098,1149,1.0
5494,1743,0.99
1857,4667,1.0
9333,2886,0.99
7480,9710,1.0
6048,6487,1.0
209,3827,1.0
5338,9790,1.0
2521,3630,1.0
6816,4217,0.98
5995,1694,0.99
7209,5878,0.99
3384,9679,0.99
4072,1443,1.0
7330,9615,1.0
6945,6802,1.0
5907,9702,0.97
7978,7557,0.97
1729,2381,0.99
1646,8863,1.0
2128,3294,0.99
7059,6197,0.99
2834,1879,1.0
8458,5652,1.0
7277,5135,1.0
514,1388,1.0
7044,8103,1.0
5521,3182,1.0
6072,60,1.0
2378,5155,0.99
2138,9979,1.0
4632,5298,1.0
8697,8581,0.99
7314,3316,1.0
7553,6069,1.0
265,3977,0.99
9821,4374,0.97
5921,3941,0.97
1001,6807,0.99
72,3710,1.0
7974,9863,1.0
8866,6271,1.0
6400,85,1.0
9057,1301,1.0
8386,123,1.0
3176,7857,1.0
4437,5886,0.99
2888,702,1.0
4257,8335,1.0
1632,7245,1.0
7656,5841,1.0
7426,3429,0.98
9297,7282,1.0
104,8069,0.99
6057,6733,1.0
6906,9428,1.0
7906,5851,0.99
5344,8856,1.0
944,8320,1.0
1529,2878,1.0
8936,8078,1.0
5602,694,1.0
1537,859,1.0
9504,6412,1.0
7313,8985,0.99
